"filename", "language", "JavaScript", "Vue", "CSS", "JSON", "HTML", "Markdown", "YAML", "PHP", "Java", "comment", "blank", "total"
"/Users/congzheng/Desktop/OMS_WEB/README.md", "Markdown", 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 25, 89
"/Users/congzheng/Desktop/OMS_WEB/back_end/php/centralMaintenance/FailureReportNew/failures.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 110, 0, 13, 6, 129
"/Users/congzheng/Desktop/OMS_WEB/back_end/php/centralMaintenance/FailureReportNew/fdes.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 156, 0, 15, 30, 201
"/Users/congzheng/Desktop/OMS_WEB/back_end/php/centralMaintenance/FailureReportNew/postFimCodeForURL.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 18, 0, 7, 10, 35
"/Users/congzheng/Desktop/OMS_WEB/back_end/php/centralMaintenance/GroundTestNew/connect.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 14, 0, 7, 2, 23
"/Users/congzheng/Desktop/OMS_WEB/back_end/php/centralMaintenance/GroundTestNew/getATAandEqui.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 28, 0, 14, 9, 51
"/Users/congzheng/Desktop/OMS_WEB/back_end/php/centralMaintenance/GroundTestNew/groundTestOrders.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 6, 0, 3, 5, 14
"/Users/congzheng/Desktop/OMS_WEB/back_end/php/centralMaintenance/GroundTestNew/getCurrentTests.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 18, 0, 7, 10, 35
"/Users/congzheng/Desktop/OMS_WEB/back_end/php/centralMaintenance/NVM/resetStatus.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 34, 0, 6, 3, 43
"/Users/congzheng/Desktop/OMS_WEB/back_end/php/centralMaintenance/NVM/retrievalStatus.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 34, 0, 6, 3, 43
"/Users/congzheng/Desktop/OMS_WEB/back_end/php/centralMaintenance/extendedFunctions/timeCycleStatus.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 32, 0, 6, 4, 42
"/Users/congzheng/Desktop/OMS_WEB/back_end/php/conditionMonitoring/eventLog/eventLogDisplay.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 29, 0, 7, 3, 39
"/Users/congzheng/Desktop/OMS_WEB/back_end/php/conditionMonitoring/eventLog/eventLogParameterDisplay.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 27, 0, 7, 4, 38
"/Users/congzheng/Desktop/OMS_WEB/back_end/php/conditionMonitoring/paramerDisplay/connectConfig.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 4, 0, 8, 4, 16
"/Users/congzheng/Desktop/OMS_WEB/back_end/php/conditionMonitoring/paramerDisplay/getDataInTime.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 58, 0, 7, 27, 92
"/Users/congzheng/Desktop/OMS_WEB/back_end/php/conditionMonitoring/paramerDisplay/getParaList.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 33, 0, 4, 6, 43
"/Users/congzheng/Desktop/OMS_WEB/back_end/php/conditionMonitoring/paramerDisplay/getRawInTime.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 32, 0, 3, 9, 44
"/Users/congzheng/Desktop/OMS_WEB/back_end/php/conditionMonitoring/paramerDisplay/getUnitInTime.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 21, 0, 11, 17, 49
"/Users/congzheng/Desktop/OMS_WEB/back_end/php/conditionMonitoring/paramerDisplay/listDelete.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 38, 0, 5, 17, 60
"/Users/congzheng/Desktop/OMS_WEB/back_end/php/conditionMonitoring/paramerDisplay/paramerList.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 66, 0, 1, 8, 75
"/Users/congzheng/Desktop/OMS_WEB/back_end/php/conditionMonitoring/paramerDisplay/saveSelection.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 38, 0, 3, 11, 52
"/Users/congzheng/Desktop/OMS_WEB/back_end/php/conditionMonitoring/paramerLinesDisplay/paramerShowDynamic.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 26, 0, 5, 9, 40
"/Users/congzheng/Desktop/OMS_WEB/back_end/php/config/connectConfig.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 4, 11
"/Users/congzheng/Desktop/OMS_WEB/back_end/php/utils/Main.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 5, 69, 9, 83
"/Users/congzheng/Desktop/OMS_WEB/back_end/php/utils/ReturnJson.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 14
"/Users/congzheng/Desktop/OMS_WEB/back_end/php/utils/util.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 65, 0, 7, 7, 79
"/Users/congzheng/Desktop/OMS_WEB/front_end/.postcssrc.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 11
"/Users/congzheng/Desktop/OMS_WEB/front_end/build/build.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 49
"/Users/congzheng/Desktop/OMS_WEB/front_end/build/check-versions.js", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 55
"/Users/congzheng/Desktop/OMS_WEB/front_end/build/utils.js", "JavaScript", 80, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17, 102
"/Users/congzheng/Desktop/OMS_WEB/front_end/build/vue-loader.conf.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23
"/Users/congzheng/Desktop/OMS_WEB/front_end/build/webpack.base.conf.js", "JavaScript", 74, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 84
"/Users/congzheng/Desktop/OMS_WEB/front_end/build/webpack.dev.conf.js", "JavaScript", 78, 0, 0, 0, 0, 0, 0, 0, 0, 12, 7, 97
"/Users/congzheng/Desktop/OMS_WEB/front_end/build/webpack.prod.conf.js", "JavaScript", 114, 0, 0, 0, 0, 0, 0, 0, 0, 24, 8, 146
"/Users/congzheng/Desktop/OMS_WEB/front_end/config/dev.env.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/congzheng/Desktop/OMS_WEB/front_end/config/index.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 25, 16, 70
"/Users/congzheng/Desktop/OMS_WEB/front_end/config/prod.env.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/congzheng/Desktop/OMS_WEB/front_end/index.html", "HTML", 0, 0, 0, 0, 11, 0, 0, 0, 0, 2, 1, 14
"/Users/congzheng/Desktop/OMS_WEB/front_end/package-lock.json", "JSON", 0, 0, 0, 14730, 0, 0, 0, 0, 0, 0, 1, 14731
"/Users/congzheng/Desktop/OMS_WEB/front_end/package.json", "JSON", 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 1, 67
"/Users/congzheng/Desktop/OMS_WEB/front_end/pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 0, 6087, 0, 0, 0, 919, 7006
"/Users/congzheng/Desktop/OMS_WEB/front_end/src/App.vue", "Vue", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 7, 62
"/Users/congzheng/Desktop/OMS_WEB/front_end/src/api/CentralMaintenceHttp.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 25
"/Users/congzheng/Desktop/OMS_WEB/front_end/src/api/ConditionMonitoringHttp.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 25
"/Users/congzheng/Desktop/OMS_WEB/front_end/src/components/Clock/index.vue", "Vue", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 2, 39
"/Users/congzheng/Desktop/OMS_WEB/front_end/src/components/Menus/index.vue", "Vue", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 5, 61
"/Users/congzheng/Desktop/OMS_WEB/front_end/src/globals/enums.js", "JavaScript", 80, 0, 0, 0, 0, 0, 0, 0, 0, 8, 9, 97
"/Users/congzheng/Desktop/OMS_WEB/front_end/src/main.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 25
"/Users/congzheng/Desktop/OMS_WEB/front_end/src/mixins/index.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 7
"/Users/congzheng/Desktop/OMS_WEB/front_end/src/plugins/axios.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 13
"/Users/congzheng/Desktop/OMS_WEB/front_end/src/plugins/element-ui.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 11
"/Users/congzheng/Desktop/OMS_WEB/front_end/src/plugins/vuex.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 11
"/Users/congzheng/Desktop/OMS_WEB/front_end/src/router/index.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 25
"/Users/congzheng/Desktop/OMS_WEB/front_end/src/router/modules/CentralMaintenance/index.js", "JavaScript", 138, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 142
"/Users/congzheng/Desktop/OMS_WEB/front_end/src/router/modules/ConditionMonitoring/index.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 39
"/Users/congzheng/Desktop/OMS_WEB/front_end/src/router/modules/DataLoad/index.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"/Users/congzheng/Desktop/OMS_WEB/front_end/src/router/modules/Utility/index.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"/Users/congzheng/Desktop/OMS_WEB/front_end/src/services/centralMaintenance/failureReport/index.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 39
"/Users/congzheng/Desktop/OMS_WEB/front_end/src/services/centralMaintenance/groundTest/index.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 46
"/Users/congzheng/Desktop/OMS_WEB/front_end/src/services/conditionMonitoring/parameterDisplay/index.js", "JavaScript", 64, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17, 88
"/Users/congzheng/Desktop/OMS_WEB/front_end/src/store/index.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 20
"/Users/congzheng/Desktop/OMS_WEB/front_end/src/store/modules/centralMaintenance/failureList.js", "JavaScript", 147, 0, 0, 0, 0, 0, 0, 0, 0, 35, 19, 201
"/Users/congzheng/Desktop/OMS_WEB/front_end/src/store/modules/centralMaintenance/groundTestList.js", "JavaScript", 98, 0, 0, 0, 0, 0, 0, 0, 0, 18, 29, 145
"/Users/congzheng/Desktop/OMS_WEB/front_end/src/store/modules/centralMaintenance/websocketVuex.js", "JavaScript", 74, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14, 93
"/Users/congzheng/Desktop/OMS_WEB/front_end/src/styles/A661Style.css", "CSS", 0, 0, 316, 0, 0, 0, 0, 0, 0, 26, 98, 440
"/Users/congzheng/Desktop/OMS_WEB/front_end/src/utils/http.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 15, 7, 57
"/Users/congzheng/Desktop/OMS_WEB/front_end/src/utils/utils.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 0, 27, 12, 79
"/Users/congzheng/Desktop/OMS_WEB/front_end/src/views/CentralMaintenance/CentralMaintenance.vue", "Vue", 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 6, 87
