Date : 2024-04-15 10:42:31
Directory : /Users/congzheng/Desktop/OMS_WEB
Total : 116 files,  30926 codes, 512 comments, 2384 blanks, all 33822 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| front_end (Files)                                                                                                                                      |          6 |     20,907 |          4 |        925 |     21,836 |
| front_end/build                                                                                                                                        |          7 |        452 |         46 |         58 |        556 |
| front_end/config                                                                                                                                       |          3 |         39 |         25 |         19 |         83 |
| front_end/src                                                                                                                                          |         74 |      8,554 |        213 |      1,140 |      9,907 |
| front_end/src (Files)                                                                                                                                  |          2 |         70 |          3 |         14 |         87 |
| front_end/src/api                                                                                                                                      |          2 |         30 |         10 |         10 |         50 |
| front_end/src/components                                                                                                                               |          2 |         93 |          0 |          7 |        100 |
| front_end/src/components/Clock                                                                                                                         |          1 |         37 |          0 |          2 |         39 |
| front_end/src/components/Menus                                                                                                                         |          1 |         56 |          0 |          5 |         61 |
| front_end/src/globals                                                                                                                                  |          1 |         80 |          8 |          9 |         97 |
| front_end/src/mixins                                                                                                                                   |          1 |          2 |          3 |          2 |          7 |
| front_end/src/plugins                                                                                                                                  |          3 |         21 |          5 |          9 |         35 |
| front_end/src/router                                                                                                                                   |          5 |        198 |          3 |         17 |        218 |
| front_end/src/router (Files)                                                                                                                           |          1 |         19 |          1 |          5 |         25 |
| front_end/src/router/modules                                                                                                                           |          4 |        179 |          2 |         12 |        193 |
| front_end/src/router/modules/CentralMaintenance                                                                                                        |          1 |        138 |          1 |          3 |        142 |
| front_end/src/router/modules/ConditionMonitoring                                                                                                       |          1 |         35 |          1 |          3 |         39 |
| front_end/src/router/modules/DataLoad                                                                                                                  |          1 |          3 |          0 |          3 |          6 |
| front_end/src/router/modules/Utility                                                                                                                   |          1 |          3 |          0 |          3 |          6 |
| front_end/src/services                                                                                                                                 |          3 |        122 |         16 |         35 |        173 |
| front_end/src/services/centralMaintenance                                                                                                              |          2 |         58 |          9 |         18 |         85 |
| front_end/src/services/centralMaintenance/failureReport                                                                                                |          1 |         25 |          6 |          8 |         39 |
| front_end/src/services/centralMaintenance/groundTest                                                                                                   |          1 |         33 |          3 |         10 |         46 |
| front_end/src/services/conditionMonitoring                                                                                                             |          1 |         64 |          7 |         17 |         88 |
| front_end/src/services/conditionMonitoring/parameterDisplay                                                                                            |          1 |         64 |          7 |         17 |         88 |
| front_end/src/store                                                                                                                                    |          4 |        332 |         61 |         66 |        459 |
| front_end/src/store (Files)                                                                                                                            |          1 |         13 |          3 |          4 |         20 |
| front_end/src/store/modules                                                                                                                            |          3 |        319 |         58 |         62 |        439 |
| front_end/src/store/modules/centralMaintenance                                                                                                         |          3 |        319 |         58 |         62 |        439 |
| front_end/src/styles                                                                                                                                   |          1 |        316 |         26 |         98 |        440 |
| front_end/src/utils                                                                                                                                    |          2 |         75 |         42 |         19 |        136 |
| front_end/src/views                                                                                                                                    |         48 |      7,215 |         36 |        854 |      8,105 |
| front_end/src/views/CentralMaintenance                                                                                                                 |         34 |      4,858 |         32 |        553 |      5,443 |
| front_end/src/views/CentralMaintenance (Files)                                                                                                         |          1 |         81 |          0 |          6 |         87 |
| front_end/src/views/CentralMaintenance/Configuration                                                                                                   |          1 |          9 |          0 |          5 |         14 |
| front_end/src/views/CentralMaintenance/ExtendedFunctions                                                                                               |          7 |        478 |          0 |         30 |        508 |
| front_end/src/views/CentralMaintenance/ExtendedFunctions (Files)                                                                                       |          2 |        101 |          0 |          8 |        109 |
| front_end/src/views/CentralMaintenance/ExtendedFunctions/modules                                                                                       |          5 |        377 |          0 |         22 |        399 |
| front_end/src/views/CentralMaintenance/ExtendedFunctions/modules (Files)                                                                               |          3 |        177 |          0 |         13 |        190 |
| front_end/src/views/CentralMaintenance/ExtendedFunctions/modules/TimeCycles                                                                            |          2 |        200 |          0 |          9 |        209 |
| front_end/src/views/CentralMaintenance/FailureReport                                                                                                   |         14 |      2,613 |          3 |        275 |      2,891 |
| front_end/src/views/CentralMaintenance/FailureReport (Files)                                                                                           |          5 |      1,382 |          2 |        161 |      1,545 |
| front_end/src/views/CentralMaintenance/FailureReport/FailureReportRadios                                                                               |          6 |        963 |          1 |         90 |      1,054 |
| front_end/src/views/CentralMaintenance/FailureReport/FailureReportRadios (Files)                                                                       |          4 |        681 |          1 |         74 |        756 |
| front_end/src/views/CentralMaintenance/FailureReport/FailureReportRadios/inBoundLegFailures                                                            |          2 |        282 |          0 |         16 |        298 |
| front_end/src/views/CentralMaintenance/FailureReport/SelectFailuresRadios                                                                              |          3 |        268 |          0 |         24 |        292 |
| front_end/src/views/CentralMaintenance/GroundTest                                                                                                      |          8 |      1,383 |         29 |        210 |      1,622 |
| front_end/src/views/CentralMaintenance/NVMData                                                                                                         |          3 |        294 |          0 |         27 |        321 |
| front_end/src/views/ConditionMonitoring                                                                                                                |         12 |      2,337 |          4 |        291 |      2,632 |
| front_end/src/views/ConditionMonitoring (Files)                                                                                                        |          1 |         36 |          0 |          4 |         40 |
| front_end/src/views/ConditionMonitoring/EventMonitoring                                                                                                |          1 |          9 |          0 |          5 |         14 |
| front_end/src/views/ConditionMonitoring/ParameterDisplay                                                                                               |          9 |      2,283 |          4 |        277 |      2,564 |
| front_end/src/views/ConditionMonitoring/ParameterDisplay (Files)                                                                                       |          3 |        674 |          1 |        107 |        782 |
| front_end/src/views/ConditionMonitoring/ParameterDisplay/ParamGraphicDisplay                                                                           |          4 |        897 |          3 |         97 |        997 |
| front_end/src/views/ConditionMonitoring/ParameterDisplay/ParamGraphicDisplay (Files)                                                                   |          1 |        139 |          0 |         16 |        155 |
| front_end/src/views/ConditionMonitoring/ParameterDisplay/ParamGraphicDisplay/components                                                                |          3 |        758 |          3 |         81 |        842 |
| front_end/src/views/ConditionMonitoring/ParameterDisplay/ParamListDisplay                                                                              |          1 |        403 |          0 |         50 |        453 |
| front_end/src/views/ConditionMonitoring/ParameterDisplay/RawDataDisplay                                                                                |          1 |        309 |          0 |         23 |        332 |
| front_end/src/views/ConditionMonitoring/ParameterRecording                                                                                             |          1 |          9 |          0 |          5 |         14 |
| front_end/src/views/DataLoad                                                                                                                           |          1 |         10 |          0 |          5 |         15 |
| front_end/src/views/Utility                                                                                                                            |          1 |         10 |          0 |          5 |         15 |
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                               | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/congzheng/Desktop/OMS_WEB/README.md                                                                                                             | Markdown   |         64 |          0 |         25 |         89 |
| /Users/congzheng/Desktop/OMS_WEB/back_end/php/centralMaintenance/FailureReportNew/failures.php                                                         | PHP        |        110 |         13 |          6 |        129 |
| /Users/congzheng/Desktop/OMS_WEB/back_end/php/centralMaintenance/FailureReportNew/fdes.php                                                             | PHP        |        156 |         15 |         30 |        201 |
| /Users/congzheng/Desktop/OMS_WEB/back_end/php/centralMaintenance/FailureReportNew/postFimCodeForURL.php                                                | PHP        |         18 |          7 |         10 |         35 |
| /Users/congzheng/Desktop/OMS_WEB/back_end/php/centralMaintenance/GroundTestNew/connect.php                                                             | PHP        |         14 |          7 |          2 |         23 |
| /Users/congzheng/Desktop/OMS_WEB/back_end/php/centralMaintenance/GroundTestNew/getATAandEqui.php                                                       | PHP        |         28 |         14 |          9 |         51 |
| /Users/congzheng/Desktop/OMS_WEB/back_end/php/centralMaintenance/GroundTestNew/groundTestOrders.php                                                    | PHP        |          6 |          3 |          5 |         14 |
| /Users/congzheng/Desktop/OMS_WEB/back_end/php/centralMaintenance/GroundTestNew/getCurrentTests.php                                                       | PHP        |         18 |          7 |         10 |         35 |
| /Users/congzheng/Desktop/OMS_WEB/back_end/php/centralMaintenance/NVM/resetStatus.php                                                                   | PHP        |         34 |          6 |          3 |         43 |
| /Users/congzheng/Desktop/OMS_WEB/back_end/php/centralMaintenance/NVM/retrievalStatus.php                                                               | PHP        |         34 |          6 |          3 |         43 |
| /Users/congzheng/Desktop/OMS_WEB/back_end/php/centralMaintenance/extendedFunctions/timeCycleStatus.php                                                 | PHP        |         32 |          6 |          4 |         42 |
| /Users/congzheng/Desktop/OMS_WEB/back_end/php/conditionMonitoring/eventLog/eventLogDisplay.php                                                         | PHP        |         29 |          7 |          3 |         39 |
| /Users/congzheng/Desktop/OMS_WEB/back_end/php/conditionMonitoring/eventLog/eventLogParameterDisplay.php                                                | PHP        |         27 |          7 |          4 |         38 |
| /Users/congzheng/Desktop/OMS_WEB/back_end/php/conditionMonitoring/paramerDisplay/connectConfig.php                                                     | PHP        |          4 |          8 |          4 |         16 |
| /Users/congzheng/Desktop/OMS_WEB/back_end/php/conditionMonitoring/paramerDisplay/getDataInTime.php                                                     | PHP        |         58 |          7 |         27 |         92 |
| /Users/congzheng/Desktop/OMS_WEB/back_end/php/conditionMonitoring/paramerDisplay/getParaList.php                                                       | PHP        |         33 |          4 |          6 |         43 |
| /Users/congzheng/Desktop/OMS_WEB/back_end/php/conditionMonitoring/paramerDisplay/getRawInTime.php                                                      | PHP        |         32 |          3 |          9 |         44 |
| /Users/congzheng/Desktop/OMS_WEB/back_end/php/conditionMonitoring/paramerDisplay/getUnitInTime.php                                                     | PHP        |         21 |         11 |         17 |         49 |
| /Users/congzheng/Desktop/OMS_WEB/back_end/php/conditionMonitoring/paramerDisplay/listDelete.php                                                        | PHP        |         38 |          5 |         17 |         60 |
| /Users/congzheng/Desktop/OMS_WEB/back_end/php/conditionMonitoring/paramerDisplay/paramerList.php                                                       | PHP        |         66 |          1 |          8 |         75 |
| /Users/congzheng/Desktop/OMS_WEB/back_end/php/conditionMonitoring/paramerDisplay/saveSelection.php                                                     | PHP        |         38 |          3 |         11 |         52 |
| /Users/congzheng/Desktop/OMS_WEB/back_end/php/conditionMonitoring/paramerLinesDisplay/paramerShowDynamic.php                                           | PHP        |         26 |          5 |          9 |         40 |
| /Users/congzheng/Desktop/OMS_WEB/back_end/php/config/connectConfig.php                                                                                 | PHP        |          4 |          3 |          4 |         11 |
| /Users/congzheng/Desktop/OMS_WEB/back_end/php/utils/Main.java                                                                                          | Java       |          5 |         69 |          9 |         83 |
| /Users/congzheng/Desktop/OMS_WEB/back_end/php/utils/ReturnJson.java                                                                                    | Java       |         14 |          0 |          0 |         14 |
| /Users/congzheng/Desktop/OMS_WEB/back_end/php/utils/util.php                                                                                           | PHP        |         65 |          7 |          7 |         79 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/.postcssrc.js                                                                                               | JavaScript |          7 |          2 |          2 |         11 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/build/build.js                                                                                              | JavaScript |         40 |          0 |          9 |         49 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/build/check-versions.js                                                                                     | JavaScript |         45 |          0 |         10 |         55 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/build/utils.js                                                                                              | JavaScript |         80 |          5 |         17 |        102 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/build/vue-loader.conf.js                                                                                    | JavaScript |         21 |          0 |          2 |         23 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/build/webpack.base.conf.js                                                                                  | JavaScript |         74 |          5 |          5 |         84 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/build/webpack.dev.conf.js                                                                                   | JavaScript |         78 |         12 |          7 |         97 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/build/webpack.prod.conf.js                                                                                  | JavaScript |        114 |         24 |          8 |        146 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/config/dev.env.js                                                                                           | JavaScript |          6 |          0 |          2 |          8 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/config/index.js                                                                                             | JavaScript |         29 |         25 |         16 |         70 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/config/prod.env.js                                                                                          | JavaScript |          4 |          0 |          1 |          5 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/index.html                                                                                                  | HTML       |         11 |          2 |          1 |         14 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/package-lock.json                                                                                           | JSON       |     14,730 |          0 |          1 |     14,731 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/package.json                                                                                                | JSON       |         66 |          0 |          1 |         67 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/pnpm-lock.yaml                                                                                              | YAML       |      6,087 |          0 |        919 |      7,006 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/App.vue                                                                                                 | Vue        |         55 |          0 |          7 |         62 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/api/CentralMaintenceHttp.js                                                                             | JavaScript |         15 |          5 |          5 |         25 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/api/ConditionMonitoringHttp.js                                                                          | JavaScript |         15 |          5 |          5 |         25 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/components/Clock/index.vue                                                                              | Vue        |         37 |          0 |          2 |         39 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/components/Menus/index.vue                                                                              | Vue        |         56 |          0 |          5 |         61 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/globals/enums.js                                                                                        | JavaScript |         80 |          8 |          9 |         97 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/main.js                                                                                                 | JavaScript |         15 |          3 |          7 |         25 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/mixins/index.js                                                                                         | JavaScript |          2 |          3 |          2 |          7 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/plugins/axios.js                                                                                        | JavaScript |          8 |          2 |          3 |         13 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/plugins/element-ui.js                                                                                   | JavaScript |          7 |          1 |          3 |         11 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/plugins/vuex.js                                                                                         | JavaScript |          6 |          2 |          3 |         11 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/router/index.js                                                                                         | JavaScript |         19 |          1 |          5 |         25 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/router/modules/CentralMaintenance/index.js                                                              | JavaScript |        138 |          1 |          3 |        142 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/router/modules/ConditionMonitoring/index.js                                                             | JavaScript |         35 |          1 |          3 |         39 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/router/modules/DataLoad/index.js                                                                        | JavaScript |          3 |          0 |          3 |          6 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/router/modules/Utility/index.js                                                                         | JavaScript |          3 |          0 |          3 |          6 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/services/centralMaintenance/failureReport/index.js                                                      | JavaScript |         25 |          6 |          8 |         39 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/services/centralMaintenance/groundTest/index.js                                                         | JavaScript |         33 |          3 |         10 |         46 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/services/conditionMonitoring/parameterDisplay/index.js                                                  | JavaScript |         64 |          7 |         17 |         88 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/store/index.js                                                                                          | JavaScript |         13 |          3 |          4 |         20 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/store/modules/centralMaintenance/failureList.js                                                         | JavaScript |        147 |         35 |         19 |        201 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/store/modules/centralMaintenance/groundTestList.js                                                      | JavaScript |         98 |         18 |         29 |        145 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/store/modules/centralMaintenance/websocketVuex.js                                                       | JavaScript |         74 |          5 |         14 |         93 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/styles/A661Style.css                                                                                    | CSS        |        316 |         26 |         98 |        440 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/utils/http.js                                                                                           | JavaScript |         35 |         15 |          7 |         57 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/utils/utils.js                                                                                          | JavaScript |         40 |         27 |         12 |         79 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/views/CentralMaintenance/CentralMaintenance.vue                                                         | Vue        |         81 |          0 |          6 |         87 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/views/CentralMaintenance/Configuration/Configuration.vue                                                | Vue        |          9 |          0 |          5 |         14 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/views/CentralMaintenance/ExtendedFunctions/ExtendedFunctionsDefaultPage.vue                             | Vue        |         96 |          0 |          8 |        104 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/views/CentralMaintenance/ExtendedFunctions/index.vue                                                    | Vue        |          5 |          0 |          0 |          5 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/views/CentralMaintenance/ExtendedFunctions/modules/EngineBalance.vue                                    | Vue        |         11 |          0 |          2 |         13 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/views/CentralMaintenance/ExtendedFunctions/modules/LegPhaseOperation.vue                                | Vue        |        155 |          0 |          9 |        164 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/views/CentralMaintenance/ExtendedFunctions/modules/OtherFunctions.vue                                   | Vue        |         11 |          0 |          2 |         13 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/views/CentralMaintenance/ExtendedFunctions/modules/TimeCycles/TimeCyclesDefaultPage.vue                 | Vue        |        177 |          0 |          5 |        182 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/views/CentralMaintenance/ExtendedFunctions/modules/TimeCycles/TimeCyclesSelect.vue                      | Vue        |         23 |          0 |          4 |         27 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/views/CentralMaintenance/FailureReport/FailureHistory.vue                                               | Vue        |        765 |          0 |         92 |        857 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/views/CentralMaintenance/FailureReport/FailureReportDefaultPage.vue                                     | Vue        |        158 |          0 |         14 |        172 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/views/CentralMaintenance/FailureReport/FailureReportRadios/ExistingFDE.vue                              | Vue        |        269 |          1 |         46 |        316 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/views/CentralMaintenance/FailureReport/FailureReportRadios/ExistingFailure.vue                          | Vue        |        170 |          0 |          8 |        178 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/views/CentralMaintenance/FailureReport/FailureReportRadios/InBoundLegFDE.vue                            | Vue        |        223 |          0 |         17 |        240 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/views/CentralMaintenance/FailureReport/FailureReportRadios/InBoundLegFailure.vue                        | Vue        |         19 |          0 |          3 |         22 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/views/CentralMaintenance/FailureReport/FailureReportRadios/inBoundLegFailures/InBoundLegFailuresAll.vue | Vue        |        175 |          0 |         11 |        186 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/views/CentralMaintenance/FailureReport/FailureReportRadios/inBoundLegFailures/InBoundLegFailuresSum.vue | Vue        |        107 |          0 |          5 |        112 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/views/CentralMaintenance/FailureReport/SelectFailuresDetails.vue                                        | Vue        |        260 |          2 |         25 |        287 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/views/CentralMaintenance/FailureReport/SelectFailuresHistory.vue                                        | Vue        |        194 |          0 |         27 |        221 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/views/CentralMaintenance/FailureReport/SelectFailuresRadios/FlightDeckEffects.vue                       | Vue        |        119 |          0 |          9 |        128 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/views/CentralMaintenance/FailureReport/SelectFailuresRadios/Parameters.vue                              | Vue        |        101 |          0 |          7 |        108 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/views/CentralMaintenance/FailureReport/SelectFailuresRadios/RootCause.vue                               | Vue        |         48 |          0 |          8 |         56 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/views/CentralMaintenance/FailureReport/index.vue                                                        | Vue        |          5 |          0 |          3 |          8 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/views/CentralMaintenance/GroundTest/GroundTestInteractiveTestPage.vue                                   | Vue        |        222 |          1 |         40 |        263 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/views/CentralMaintenance/GroundTest/GroundTestNewTestPage.vue                                           | Vue        |        170 |          0 |         31 |        201 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/views/CentralMaintenance/GroundTest/GroundTestSelectTestNewPage.vue                                     | Vue        |        253 |         24 |         39 |        316 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/views/CentralMaintenance/GroundTest/GroundTestSelectTestPage.vue                                        | Vue        |        147 |          0 |         19 |        166 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/views/CentralMaintenance/GroundTest/GroundTestTestListPage.vue                                          | Vue        |        227 |          0 |         36 |        263 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/views/CentralMaintenance/GroundTest/GroundTestThreeTestsPage.vue                                        | Vue        |        217 |          4 |         33 |        254 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/views/CentralMaintenance/GroundTest/GroundTestViewDetailPage.vue                                        | Vue        |        142 |          0 |         11 |        153 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/views/CentralMaintenance/GroundTest/index.vue                                                           | Vue        |          5 |          0 |          1 |          6 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/views/CentralMaintenance/NVMData/NVMDataDefaultPage.vue                                                 | Vue        |        138 |          0 |         11 |        149 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/views/CentralMaintenance/NVMData/NVMDataManagementPage.vue                                              | Vue        |        151 |          0 |         16 |        167 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/views/CentralMaintenance/NVMData/index.vue                                                              | Vue        |          5 |          0 |          0 |          5 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/views/ConditionMonitoring/ConditionMonitoring.vue                                                       | Vue        |         36 |          0 |          4 |         40 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/views/ConditionMonitoring/EventMonitoring/EventMonitoring.vue                                           | Vue        |          9 |          0 |          5 |         14 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/views/ConditionMonitoring/ParameterDisplay/ParamGraphicDisplay/ParamFlightShow.vue                      | Vue        |        139 |          0 |         16 |        155 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/views/ConditionMonitoring/ParameterDisplay/ParamGraphicDisplay/components/ATA29.vue                     | Vue        |        147 |          0 |         16 |        163 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/views/ConditionMonitoring/ParameterDisplay/ParamGraphicDisplay/components/ATA32_BRAKE.vue               | Vue        |        449 |          3 |         41 |        493 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/views/ConditionMonitoring/ParameterDisplay/ParamGraphicDisplay/components/ATA32_LG.vue                  | Vue        |        162 |          0 |         24 |        186 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/views/ConditionMonitoring/ParameterDisplay/ParamListDisplay/ParamListDisplay.vue                        | Vue        |        403 |          0 |         50 |        453 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/views/ConditionMonitoring/ParameterDisplay/ParameterSelect.vue                                          | Vue        |         76 |          0 |          9 |         85 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/views/ConditionMonitoring/ParameterDisplay/RawDataDisplay/RawDataDisplay.vue                            | Vue        |        309 |          0 |         23 |        332 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/views/ConditionMonitoring/ParameterDisplay/StartView.vue                                                | Vue        |        593 |          1 |         98 |        692 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/views/ConditionMonitoring/ParameterDisplay/index.vue                                                    | Vue        |          5 |          0 |          0 |          5 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/views/ConditionMonitoring/ParameterRecording/ParameterRecording.vue                                     | Vue        |          9 |          0 |          5 |         14 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/views/DataLoad/DataLoad.vue                                                                             | Vue        |         10 |          0 |          5 |         15 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/src/views/Utility/Utility.vue                                                                               | Vue        |         10 |          0 |          5 |         15 |
| /Users/congzheng/Desktop/OMS_WEB/front_end/vue.config.js                                                                                               | JavaScript |          6 |          0 |          1 |          7 |
| Total                                                                                                                                                  |            |     30,926 |        512 |      2,384 |     33,822 |
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
